Level,Code,Label,Area sqkm,,,
IARE,IARE201020,Yarra Ranges,2459.12,,,
IARE,IARE202001,Ballarat,1200.41,,,
IARE,IARE202002,Baw Baw,3999.69,,,
IARE,IARE202003,Bendigo,3281.33,,,
IARE,IARE202004,Campaspe - Shepparton - Moira,10934.33,,,
IARE,IARE202005,Castlemaine - Kerang,22169.57,,,
IARE,IARE202006,Geelong - Queenscliff,1256.51,,,
IARE,IARE202007,Gippsland,31758.32,,,
IARE,IARE202008,Latrobe,1374.86,,,
IARE,IARE202009,Macedon Ranges - Moorabool,3845.95,,,
IARE,IARE202010,Mildura,22082.48,,,
IARE,IARE202011,South Gippsland - Bass Coast,4424.34,,,
IARE,IARE202012,South-West Central Victoria,25211.11,,,
IARE,IARE202013,Southern Grampians - Glenelg,12947.18,,,
IARE,IARE202014,Swan Hill,6067.54,,,
IARE,IARE202015,Upper Goulburn Valley,13613.47,,,
IARE,IARE202016,Wallan - Seymour,2737.53,,,
IARE,IARE202017,Warrnambool,182.614,,,
IARE,IARE202018,Wimmera,33953.43,,,
IARE,IARE202019,Wodonga,17625.39,,,
IARE,IARE294994,No Usual Address (Vic.),0,,,
IARE,IARE297997,Migratory - Offshore - Shipping (Vic.),0,,,
IARE,IARE301001,Beaudesert - Boonah,4248.07,,,
IARE,IARE301002,Brisbane City,1344.9,,,
IARE,IARE301003,Caboolture,1257.88,,,
IARE,IARE301004,Caloundra,1038.36,,,
IARE,IARE301005,Esk - Kilcoy,5370.5,,,
IARE,IARE301006,Gatton - Laidley,2271.52,,,
IARE,IARE301007,Gold Coast,1331.68,,,
IARE,IARE301008,Ipswich,1081.7,,,
IARE,IARE301009,Logan,958.097,,,
IARE,IARE301010,Maroochy,1177.62,,,
IARE,IARE301011,Noosa,868.781,,,
IARE,IARE301012,Pine Rivers,773.288,,,
IARE,IARE301013,Redcliffe,38.0754,,,
IARE,IARE301014,Redland,536.246,,,
IARE,IARE302001,Atherton,621.923,,,
IARE,IARE302002,Cairns,328.292,,,
IARE,IARE302003,Cairns - Far North Coast,618.502,,,
IARE,IARE302004,Cairns - Southern Hinterlands,1749.07,,,
IARE,IARE302005,Eacham,868.94,,,
IARE,IARE302006,Herberton - Ravenshoe,9577.01,,,
IARE,IARE302007,Innisfail - Johnstone,1495.58,,,
IARE,IARE302008,Kuranda - Croydon,122140.97,,,
IARE,IARE302009,Mareeba,19.9584,,,
IARE,IARE302010,Wujal Wujal and Outstations,1802.51,,,
IARE,IARE302011,Yarrabah,158.843,,,
IARE,IARE303001,Aurukun,7347.21,,,
IARE,IARE303002,Cape York,107665.89,,,
IARE,IARE303003,Cooktown,24.6059,,,
IARE,IARE303004,Hope Vale,1109.29,,,
IARE,IARE303005,Kowanyama,2543.17,,,
IARE,IARE303006,Lockhart River,4203.62,,,
IARE,IARE303007,Mapoon - Napranum - Weipa,35.0163,,,
IARE,IARE303008,Northern Peninsula Area,1551.57,,,
IARE,IARE303009,Pormpuraaw,4428.84,,,
IARE,IARE304001,Boulia - Diamantina - Winton,209437.05,,,
IARE,IARE304002,Carpentaria - Burke - Mornington,114279.04,,,
IARE,IARE304003,Cloncurry - McKinlay,88716.84,,,
IARE,IARE304004,Mount Isa,36152.47,,,
IARE,IARE305001,Banana,28546.33,,,
IARE,IARE305002,Barcaldine - Blackall - Longreach,124481.44,,,
IARE,IARE305003,Bundaberg,6435.7,,,
IARE,IARE305004,Central Capricorn,60225.17,,,
IARE,IARE305005,Fraser Coast,7000.92,,,
IARE,IARE305006,Gladstone,10465.73,,,
IARE,IARE305007,Nebo - Clermont,58719.84,,,
IARE,IARE305008,North Burnett,19666.77,,,
IARE,IARE305009,Rockhampton - Yeppoon,18311.74,,,
IARE,IARE306001,Balonne,31106.18,,,
IARE,IARE306002,Bulloo - Quilpie - Barcoo,203011.12,,,
IARE,IARE306003,Cherbourg,31.5991,,,
IARE,IARE306004,Cooloola - Gympie,3721.12,,,
IARE,IARE306005,Dalby,43.6171,,,
IARE,IARE306006,Goondiwindi - Stanthorpe,21037.91,,,
IARE,IARE306007,Jondaryan - Oakey,1844.44,,,
IARE,IARE306008,Maranoa - Roma - Mitchell,58711.36,,,
IARE,IARE306009,Murgon,586.195,,,
IARE,IARE306010,Murweh,40698.49,,,
IARE,IARE306011,Nanango - Kilkivan,4905.01,,,
IARE,IARE306012,Paroo,47616.41,,,
IARE,IARE306013,South Burnett,6155.49,,,
IARE,IARE306014,Southern Downs,4479.85,,,
IARE,IARE306015,Toowoomba - Central,142.201,,,
IARE,IARE306016,Toowoomba - North,4024.56,,,
IARE,IARE306017,Toowoomba - South,6935.05,,,
IARE,IARE306018,Western Downs,38755.78,,,
IARE,IARE307001,Kaiwalagal - Inner Islands,330.426,,,
IARE,IARE307002,Kalakawal - Top Western Islands,207.784,,,
IARE,IARE307003,Kalalagal - Western Islands,295.126,,,
IARE,IARE307004,Kulkalgal - Central Islands,32.3611,,,
IARE,IARE307005,Meriam - Eastern Islands,11.6009,,,
IARE,IARE308001,Bowen (Qld),21129.93,,,
IARE,IARE308002,Burdekin - Ayr,4948.54,,,
IARE,IARE308003,Charters Towers,41.7127,,,
IARE,IARE308004,Flinders - Richmond - Dalrymple,136104.65,,,
IARE,IARE308005,Ingham - Hinchinbrook,2801.35,,,
IARE,IARE308006,Mackay,235.781,,,
IARE,IARE308007,Mackay - Surrounds,2600.88,,,
IARE,IARE308008,Mirani,3326.16,,,
IARE,IARE308009,Palm Island,70.6336,,,
IARE,IARE308010,Proserpine - Whitsunday,2674.52,,,
IARE,IARE308011,Sarina,1438.38,,,
IARE,IARE308012,Thuringowa,241.605,,,
IARE,IARE308013,Townsville,164.068,,,
IARE,IARE308014,Townsville - Surrounds,3416.59,,,
IARE,IARE308015,Tully - Cardwell - Jumbun,3053.04,,,
IARE,IARE394994,No Usual Address (Qld),0,,,
IARE,IARE397997,Migratory - Offshore - Shipping (Qld),0,,,
IARE,IARE401001,Adelaide - Prospect - Walkerville,26.894,,,
IARE,IARE401002,Adelaide Hills - Mount Barker,1387.04,,,
IARE,IARE401003,Barossa,3101.68,,,
IARE,IARE401004,Berri - Barmera,526.583,,,
IARE,IARE401005,Campbelltown - Norwood,41.5512,,,
IARE,IARE401006,Charles Sturt,54.4528,,,
IARE,IARE401007,Fleurieu - Kangaroo Island,7363.9,,,
IARE,IARE401008,Gawler,42.2203,,,
IARE,IARE401009,Holdfast Bay - West Torrens,51.0696,,,
IARE,IARE401010,Loxton - Waikerie - Mid Murray,14189.88,,,
IARE,IARE401011,Marion,55.5341,,,
IARE,IARE401012,Murray Bridge,1925.73,,,
IARE,IARE401013,Murray Mallee,19192.63,,,
IARE,IARE401014,Onkaparinga,518.193,,,
IARE,IARE401015,Playford,346.459,,,
