region_id,2011_Census_Total_Family_households_Total,2011_Census_Total_Lone_person_household,2011_Census_Total_Group_household,2011_Census_Total_Other_household,2011_Census_Total_Total
31905,11619,4182,489,1087,17377
39797,0,0,0,0,0
40101,3403,3444,1329,1265,9441
40102,19041,4855,500,577,24973
40103,11179,4885,531,574,17169
40104,13295,4974,555,444,19268
40105,8570,5440,992,630,15632
40106,6810,3133,615,419,10977
40107,9121,4624,892,584,15221
40201,8746,2795,269,374,12184
40202,20973,7463,920,1038,30394
40203,15364,7189,1236,846,24635
40204,34074,11243,1390,1653,48360
40205,26277,7538,760,699,35274
40301,8345,5175,642,726,14888
40302,22625,10333,1486,973,35417
40303,16690,5831,792,561,23874
40304,44980,14379,1610,1708,62677
40401,27094,12458,1684,1385,42621
40402,14419,7311,882,889,23501
40403,14605,8083,1580,914,25182
40501,9342,2994,248,418,13002
40502,5941,2554,197,378,9070
40503,7355,3540,223,489,11607
40504,6728,3054,199,592,10573
40601,14735,6635,573,1571,23514
40602,6300,2823,277,1756,11156
40701,13171,5324,396,1003,19894
40702,17106,6879,607,846,25438
40703,18059,7710,637,1549,27955
49797,0,0,0,0,0
50101,11217,3494,475,1106,16292
50102,25095,7755,987,1878,35715
50103,6012,2141,152,433,8738
50201,22772,7717,852,1635,32976
50301,15991,5808,1142,1289,24230
50302,21162,13542,3391,4486,42581
50401,19997,8620,1622,1380,31619
50402,10863,2736,282,623,14504
50403,27119,6492,931,1714,36256
50501,42723,8850,1436,1532,54541
50502,45896,20731,3612,3901,74140
50503,40451,8235,1196,2105,51987
50601,16671,4643,656,1056,23026
50602,15597,7809,2046,1893,27345
50603,22151,7259,1833,1258,32501
50604,27621,7217,1262,1711,37811
50605,14803,3580,489,810,19682
50606,4833,722,107,201,5863
50607,9982,5161,1118,1212,17473
50701,23662,6347,1105,1208,32322
50702,8490,4357,827,1017,14691
50703,7433,2214,340,661,10648
50704,26475,8548,1413,1278,37714
50705,27729,7428,1000,1714,37871
50801,3948,1389,113,567,6017
50802,2193,944,107,3058,6302
50803,9009,2950,539,2163,14661
50804,6597,2149,496,5305,14547
50805,13371,4818,508,2111,20808
50806,9602,2459,575,5025,17661
50901,14700,5459,504,1003,21666
50902,14165,5121,425,1533,21244
50903,5374,2071,152,361,7958
59797,0,0,0,3,3
60101,4342,1074,120,276,5812
60102,13626,5015,420,576,19637
60103,13496,6706,634,607,21443
60104,8703,2579,257,299,11838
60105,11685,6375,1600,1010,20670
60106,4140,1465,118,214,5937
