region_id,2011_Census_350_449_Couple_family_With_children_under_15_and_no_dependent_students,2011_Census_350_449_Couple_family_With_no_children_under_15_and_dependent_students,2011_Census_350_449_Couple_family_With_non_dependent_children_only,2011_Census_350_449_Couple_family_Total,2011_Census_450_549_Couple_family_With_no_children,2011_Census_450_549_Couple_family_With_children_under_15_and_dependent_students,2011_Census_450_549_Couple_family_With_children_under_15_and_no_dependent_students,2011_Census_450_549_Couple_family_With_no_children_under_15_and_dependent_students,2011_Census_450_549_Couple_family_With_non_dependent_children_only,2011_Census_450_549_Couple_family_Total,2011_Census_550_649_Couple_family_With_no_children,2011_Census_550_649_Couple_family_With_children_under_15_and_dependent_students,2011_Census_550_649_Couple_family_With_children_under_15_and_no_dependent_students,2011_Census_550_649_Couple_family_With_no_children_under_15_and_dependent_students,2011_Census_550_649_Couple_family_With_non_dependent_children_only,2011_Census_550_649_Couple_family_Total,2011_Census_650_and_over_Couple_family_With_no_children,2011_Census_650_and_over_Couple_family_With_children_under_15_and_dependent_students,2011_Census_650_and_over_Couple_family_With_children_under_15_and_no_dependent_students,2011_Census_650_and_over_Couple_family_With_no_children_under_15_and_dependent_students,2011_Census_650_and_over_Couple_family_With_non_dependent_children_only,2011_Census_650_and_over_Couple_family_Total,2011_Census_Rent_not_stated_Couple_family_With_no_children,2011_Census_Rent_not_stated_Couple_family_With_children_under_15_and_dependent_students,2011_Census_Rent_not_stated_Couple_family_With_children_under_15_and_no_dependent_students,2011_Census_Rent_not_stated_Couple_family_With_no_children_under_15_and_dependent_students,2011_Census_Rent_not_stated_Couple_family_With_non_dependent_children_only,2011_Census_Rent_not_stated_Couple_family_Total,2011_Census_Total_Couple_family_With_no_children,2011_Census_Total_Couple_family_With_children_under_15_and_dependent_students,2011_Census_Total_Couple_family_With_children_under_15_and_no_dependent_students,2011_Census_Total_Couple_family_With_no_children_under_15_and_dependent_students,2011_Census_Total_Couple_family_With_non_dependent_children_only,2011_Census_Total_Couple_family_Total
12504,1995,145,135,4508,448,58,455,48,63,1072,95,10,89,15,15,224,39,8,35,5,9,96,111,5,84,6,23,229,4681,387,4302,378,390,10138
12601,233,35,14,543,138,43,207,52,28,468,71,30,123,31,23,278,35,20,118,35,21,229,13,5,19,5,8,50,613,136,799,181,117,1846
12602,784,76,69,2169,552,52,589,71,65,1329,231,28,330,47,43,679,167,58,305,53,41,624,74,3,51,4,19,151,3509,236,2582,327,316,6970
12701,474,72,100,986,84,71,182,46,53,436,16,17,40,14,18,105,17,0,15,4,10,46,33,9,42,20,15,119,824,363,1250,252,353,3042
12702,1118,222,298,2516,82,79,201,67,83,512,27,15,32,7,17,98,16,13,19,8,9,65,87,34,92,20,44,277,2393,847,3131,685,992,8048
12703,682,125,151,1473,167,68,254,59,55,603,18,11,48,12,15,104,8,6,20,6,5,45,46,12,62,14,13,147,1693,460,2471,382,474,5480
12801,437,31,50,1285,366,30,348,49,37,830,155,39,213,29,33,469,105,48,226,47,57,483,49,7,28,8,4,96,2074,197,1575,200,227,4273
12802,343,35,39,881,148,48,296,45,36,573,50,21,150,31,31,283,35,27,110,21,18,211,29,3,21,3,3,59,1061,159,1122,166,173,2681
19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20101,123,18,14,247,3,3,16,3,0,25,4,3,0,0,0,7,4,0,7,0,3,14,42,0,32,3,9,86,1525,186,1335,146,148,3340
20102,7,0,0,18,4,3,4,0,0,11,0,0,3,0,0,3,4,0,0,0,0,4,13,0,9,0,3,25,288,36,222,15,15,576
20103,3,0,0,6,0,0,0,0,0,0,3,0,0,0,0,3,6,0,0,0,0,6,11,0,11,0,3,25,265,28,193,6,29,521
20201,110,15,14,231,5,3,16,3,3,30,0,0,3,0,0,3,8,0,9,0,0,17,41,8,28,3,3,83,1384,190,1298,124,153,3149
20202,49,3,3,94,6,0,19,3,0,28,0,0,0,0,0,0,8,0,3,0,3,14,13,0,15,0,0,28,407,58,435,39,44,983
20203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12,0,0,18,135,17,89,14,10,265
20301,16,0,0,23,3,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0,3,3,9,0,6,0,0,15,152,19,136,5,21,333
20302,384,56,47,802,49,16,67,12,15,159,5,3,23,5,3,39,27,7,18,0,0,52,74,11,52,16,20,173,2834,347,2293,272,370,6116
20303,260,28,30,501,44,17,114,7,4,186,4,3,25,0,0,32,8,3,11,3,0,25,21,3,24,3,3,54,895,135,1011,86,91,2218
20401,32,0,0,53,6,0,8,0,0,14,4,0,3,0,0,7,6,0,0,0,0,6,44,3,35,0,8,90,705,81,732,54,97,1669
20402,12,5,0,25,0,3,3,0,0,6,4,0,0,0,0,4,7,0,3,0,0,10,32,3,20,4,3,62,621,82,537,58,68,1366
20403,86,13,9,169,11,6,13,4,0,34,0,0,9,0,0,9,9,0,4,4,0,17,32,5,35,3,7,82,1123,168,1166,122,106,2685
20501,21,4,3,49,0,0,5,0,0,5,0,0,0,0,0,0,5,0,0,0,0,5,17,3,28,4,6,58,542,64,521,54,66,1247
20502,36,0,5,59,4,0,0,3,0,7,3,0,0,0,0,3,11,0,4,0,0,15,31,3,15,3,3,55,670,99,566,64,69,1468
20503,101,6,7,179,28,0,40,0,3,71,6,3,7,0,0,16,12,0,17,0,4,33,41,4,50,4,5,104,855,97,876,71,87,1986
20504,52,6,3,96,3,3,3,3,0,12,3,0,4,0,0,7,9,0,5,0,0,14,26,6,27,3,6,68,994,119,898,67,116,2194
20505,27,0,3,49,3,0,9,0,0,12,4,0,0,0,0,4,11,0,0,0,0,11,25,8,13,0,6,52,611,89,582,41,66,1389
20601,344,25,25,1461,364,11,144,15,11,545,69,9,46,4,3,131,54,0,29,0,0,83,53,4,33,4,5,99,3046,76,1250,94,111,4577
20602,188,10,7,722,252,3,127,6,5,393,56,5,72,0,0,133,48,0,50,4,3,105,32,0,15,0,5,52,1815,41,752,56,47,2711
20603,236,17,24,944,135,8,135,14,11,303,48,9,74,7,8,146,22,12,44,8,3,89,54,4,32,3,3,96,2014,90,1041,90,108,3343
20604,324,14,7,2412,1303,11,258,23,11,1606,539,7,122,14,16,698,542,31,196,59,49,877,105,4,26,13,5,153,5994,120,1290,155,146,7705
20605,288,15,19,2280,1062,8,239,17,10,1336,548,0,194,10,9,761,576,30,456,35,34,1131,111,3,29,8,6,157,6118,68,1567,113,114,7980
20606,141,12,10,1191,532,3,97,6,9,647,299,7,81,10,11,408,253,28,240,42,22,585,60,3,21,3,7,94,3262,53,766,90,77,4248
20607,158,7,12,1325,986,3,187,8,10,1194,417,5,117,9,3,551,266,8,142,21,16,453,71,4,37,8,8,128,4107,88,1081,120,152,5548
20701,531,75,37,2032,463,43,427,77,39,1049,175,44,305,58,24,606,213,122,678,156,54,1223,83,19,62,14,6,184,3840,315,2510,465,215,7345
20702,425,92,86,1049,140,50,232,66,44,532,42,24,82,22,16,186,25,21,49,16,9,120,38,7,30,5,8,88,1065,223,1134,255,238,2915
20703,484,67,46,1269,179,30,227,39,18,493,36,16,67,15,10,144,34,14,52,10,6,116,72,0,27,11,9,119,2103,178,1383,218,170,4052
20801,260,22,24,742,239,23,253,34,17,566,114,34,190,33,17,388,179,112,653,97,35,1076,44,0,34,4,5,87,1457,217,1613,221,132,3640
20802,763,85,68,2183,369,61,491,53,44,1018,131,41,248,24,14,458,110,56,317,58,23,564,94,8,69,11,7,189,4043,274,2717,326,239,7599
