region_id,2011_Census_Other_tenure_type_Dwelling_structure_Flat_unit_or_apartment,2011_Census_Other_tenure_type_Dwelling_structure_Other_dwelling,2011_Census_Other_tenure_type_Dwelling_structure_Not_stated,2011_Census_Other_tenure_type_Total,2011_Census_Tenure_type_not_stated_Dwelling_structure_Separate_house,2011_Census_Tenure_type_not_stated_Dwelling_structure_Semi_detached_row_or_terrace_house_townhouse_etc,2011_Census_Tenure_type_not_stated_Dwelling_structure_Flat_unit_or_apartment,2011_Census_Tenure_type_not_stated_Dwelling_structure_Other_dwelling,2011_Census_Tenure_type_not_stated_Dwelling_structure_Not_stated,2011_Census_Tenure_type_not_stated_Total,2011_Census_Total_Dwelling_structure_Separate_house,2011_Census_Total_Dwelling_structure_Semi_detached_row_or_terrace_house_townhouse_etc,2011_Census_Total_Dwelling_structure_Flat_unit_or_apartment,2011_Census_Total_Dwelling_structure_Other_dwelling,2011_Census_Total_Dwelling_structure_Not_stated,2011_Census_Total_Total
50503,55,10,0,846,2319,239,116,42,0,2716,46955,3661,1020,347,3,51986
50601,12,0,0,209,1146,117,105,23,0,1391,20398,1372,1118,130,10,23028
50602,51,3,3,170,1199,490,572,14,0,2275,17474,5090,4676,73,30,27343
50603,266,0,0,545,1051,413,300,3,0,1767,25145,4306,3001,38,8,32498
50604,88,0,3,451,2022,135,167,5,0,2329,34330,1822,1480,161,18,37811
50605,19,3,0,252,907,67,20,13,0,1007,18496,805,237,139,4,19681
50606,0,3,0,28,255,6,0,3,0,264,5790,23,14,34,3,5864
50607,83,0,0,267,469,327,435,0,7,1238,8696,4773,3993,0,13,17475
50701,9,4,3,184,1207,206,157,48,0,1618,27636,2954,1564,160,9,32323
50702,12,0,3,114,459,232,296,105,0,1092,9282,2967,2122,309,12,14692
50703,3,0,0,65,734,54,64,5,0,857,9652,511,470,9,6,10648
50704,225,0,0,532,1153,299,239,3,0,1694,30419,4495,2764,9,28,37715
50705,38,7,0,230,1715,169,205,59,3,2151,33340,2113,1999,409,11,37872
50801,0,3,0,52,330,38,31,58,4,461,4997,424,265,311,18,6015
50802,0,51,9,99,268,53,24,343,5,693,2818,270,207,2927,81,6303
50803,3,19,5,102,1261,246,153,241,12,1913,11436,1283,913,902,128,14662
50804,16,180,38,335,763,122,88,735,42,1750,7693,845,651,4911,448,14548
50805,14,34,6,197,957,108,99,211,27,1402,17226,961,997,1470,155,20809
50806,15,58,19,256,1889,464,292,614,29,3288,11825,1984,1136,2435,279,17659
50901,42,10,0,274,868,77,64,90,3,1102,19497,1067,655,433,15,21667
50902,3,13,4,225,1278,42,47,64,8,1439,19695,433,449,602,64,21243
50903,11,4,0,94,316,12,16,54,3,401,7264,249,252,189,6,7960
59797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
60101,3,0,0,22,296,9,35,0,0,340,5263,104,428,18,0,5813
60102,27,3,0,141,679,94,89,11,0,873,17471,1112,979,69,6,19637
60103,23,0,0,119,779,87,185,6,0,1057,17257,1393,2689,97,3,21439
60104,15,0,0,90,318,22,40,5,0,385,10474,514,797,50,3,11838
60105,87,3,3,258,524,142,384,50,3,1103,13858,2277,4302,191,42,20670
60106,0,0,0,27,267,11,10,3,0,291,5602,183,109,41,5,5940
60201,95,3,0,268,1054,185,208,44,4,1495,26395,2424,3013,200,25,32057
60202,3,3,0,74,375,19,11,15,0,420,8325,284,165,113,3,8890
60203,11,0,0,132,654,19,34,19,3,729,14128,254,444,161,10,14997
60301,0,0,0,44,208,5,5,10,0,228,4281,92,50,37,5,4465
60302,3,3,0,63,239,14,3,11,0,267,6846,112,55,133,0,7146
60303,3,3,0,28,152,3,3,10,0,168,2605,78,52,93,0,2828
60401,28,3,0,131,695,66,115,18,3,897,17051,873,1376,172,6,19478
60402,4,3,0,116,581,97,76,56,0,810,15221,1092,745,235,21,17314
60403,7,0,0,75,349,9,20,15,0,393,6919,64,302,82,0,7367
69797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70101,19,26,9,73,179,118,774,190,8,1269,2606,1451,4889,514,55,9515
