Median_age_of_persons_Census_year_2011,Median_mortgage_repayment_monthly_Census_year_2011,Median_rent_weekly_Census_year_2011,Median_total_family_income_weekly_Census_year_2011,Median_total_household_income_weekly_Census_year_2011,Median_total_personal_income_weekly_Census_year_2011,Average_household_size_Census_year_2011,Average_number_of_persons_per_bedroom_Census_year_2011
41.0,2000.0,350.0,1356.0,1097.0,589.0,2.3,1.1
43.0,1950.0,320.0,1264.0,977.0,520.0,2.3,1.1
42.0,1950.0,330.0,1195.0,962.0,525.0,2.2,1.1
42.0,1900.0,310.0,1314.0,1123.0,539.0,2.6,1.1
37.0,2167.0,370.0,1471.0,1390.0,574.0,3.0,1.1
36.0,2080.0,360.0,1419.0,1288.0,564.0,2.8,1.1
34.0,2253.0,380.0,1580.0,1479.0,647.0,2.9,1.1
36.0,2001.0,400.0,1352.0,1206.0,540.0,2.6,1.1
37.0,1950.0,340.0,1259.0,1017.0,495.0,2.4,1.1
40.0,2113.0,350.0,1415.0,1107.0,615.0,2.1,1.1
33.0,1829.0,300.0,1349.0,1202.0,531.0,2.8,1.1
40.0,1517.0,241.0,1164.0,989.0,469.0,2.6,1.1
34.0,1647.0,260.0,1367.0,1164.0,561.0,2.7,1.1
29.0,1920.0,315.0,1490.0,1392.0,644.0,3.0,1.1
39.0,1690.0,250.0,1125.0,935.0,464.0,2.6,1.1
33.0,1733.0,300.0,1218.0,1066.0,526.0,2.7,1.1
31.0,1739.0,320.0,1367.0,1305.0,586.0,3.0,1.1
35.0,2067.0,360.0,1618.0,1589.0,627.0,3.2,1.1
34.0,1900.0,325.0,1485.0,1350.0,602.0,2.8,1.1
33.0,1700.0,280.0,1287.0,1138.0,539.0,2.8,1.1
37.0,1733.0,80.0,2219.0,1790.0,971.0,2.7,1.1
36.0,2167.0,310.0,1820.0,1553.0,682.0,2.7,1.1
38.0,1900.0,290.0,1405.0,1176.0,660.0,2.4,1.1
51.0,1733.0,280.0,949.0,801.0,418.0,2.2,1.1
32.0,1733.0,290.0,1190.0,1064.0,505.0,2.8,1.1
40.0,1647.0,260.0,1126.0,963.0,466.0,2.6,1.1
35.0,1907.0,300.0,1405.0,1265.0,562.0,2.9,1.1
42.0,1750.0,280.0,1256.0,968.0,515.0,2.3,1.1
